common_name, common_name_regex, scientific_name, scientific_name_regex
Golden-winged Warbler,^Golden-winged Warbler$,Vermivora chrysoptera,^Vermivora chrysoptera
Black-and-white Warbler,^Black-and-white Warbler$,Mniotilta varia,^Mniotilta varia
Tennessee Warbler,^Tennessee Warbler$,Leiothlypis peregrina,^Leiothlypis peregrina
Common Yellowthroat,^Common Yellowthroat$,Geothlypis trichas,^Geothlypis trichas
Hooded Warbler,^Hooded Warbler$,Setophaga citrina,^Setophaga citrina
American Redstart,^American Redstart$,Setophaga ruticilla,^Setophaga ruticilla
Cape May Warbler,^Cape May Warbler$,Setophaga tigrina,^Setophaga tigrina
Northern Parula,^Northern Parula$,Setophaga americana,^Setophaga americana
Magnolia Warbler,^Magnolia Warbler$,Setophaga magnolia,^Setophaga magnolia
Bay-breasted Warbler,^Bay-breasted Warbler$,Setophaga castanea,^Setophaga castanea
Blackburnian Warbler,^Blackburnian Warbler$,Setophaga fusca,^Setophaga fusca
Yellow Warbler,^Yellow Warbler$|^American Yellow Warbler$,Setophaga aestiva,^Setophaga aestiva
Chestnut-sided Warbler,^Chestnut-sided Warbler$,Setophaga pensylvanica,^Setophaga pensylvanica
Blackpoll Warbler,^Blackpoll Warbler$,Setophaga striata,^Setophaga striata
Yellow-rumped Warbler,^Yellow-rumped Warbler$|^Myrtle Warbler$,Setophaga coronata,^Setophaga coronata
Wilson's Warbler,^Wilson's Warbler$,Cardellina pusilla,^Cardellina pusilla
Summer Tanager,^Summer Tanager$,Piranga rubra,^Piranga rubra
Scarlet Tanager,^Scarlet Tanager$,Piranga olivacea,^Piranga olivacea
Rose-breasted Grosbeak,^Rose-breasted Grosbeak$,Pheucticus ludovicianus,^Pheucticus ludovicianus
Indigo Bunting,^Indigo Bunting$,Passerina cyanea,^Passerina cyanea
Dark-bellied Brent Goose,^((?=.*(Dark(-|\s)Bellied)))?(?=.*(Brent Goose|Brant))(?!.*(Pale|Black|light)),Branta bernicla bernicla,^Branta bernicla bernicla
Black Brant,^(?=.*Black)(?=.*Brant),Branta bernicla nigricans,^Branta bernicla nigricans
Comic Tern,^Comm?ic Tern,Sterna sp.,^Sterna sp.
Black Swan,^Black Swan$,Cygnus atratus,^Cygnus atratus
Unidentified Auk,^(Unidentified )?Auk|alcid sp.?,Auk sp.,^Auk sp.
Domestic Goose Type,^Domestic Goose,Anser sp.,^Anser sp.
Siberian Chiffchaff,^Siberian Chiffchaff,Phylloscopus collybita tristis,^Phylloscopus collybita tristis$
White Wagtail,^White Wagtail,Motacilla alba alba,^Motacilla alba alba
Bar-headed Goose,Bar-headed Goose,Anser indicus,^Anser indicus
SIberian Lesser Whitethroat,Siberian Lesser Whitethroat,Curruca curruca blythi,Curruca curruca blythi
Diver Sp.,Divers? Sp\.?(iecies)?,Gavia Sp.,Gavia Sp\.?(iecies)?
Indian Peafowl,Indian Peafowl|Peacock,Pavo cristatus,Pavo cristatus
Petrel Sp.,Petrel Sp.,Pterodroma spp.,Pterodroma spp.
Fulvous Whistling-Duck,Fulvous Whistling\-?Duck,Dendrocygna bicolor,Dendrocygna bicolor
Emu,Emu,Dromaius novaehollandiae ,Dromaius novaehollandiae 
Delete,Delete,Delete,Delete
Alexandrine Parakeet,Alexandrine Parakeet,Psittacula eupatria,Psittacula eupatria
Reeves's Pheasant,Reeves'?s? Pheasant,Syrmaticus reevesii,Syrmaticus reevesii
Puna Teal,Pu(m|n)a Teal,Spatula puna,Spatula puna
Pratincole Species,Pratincole sp(ecies)\.?,Glareola sp.,Glareola sp\.
Skua species,Skua sp\.?|Unidentified Skua,Stercorarius|stercorariidae sp.,Stercorarius sp\.?
Wood Duck,Wood Duck,Aix sponsa,Aix sponsa
Muscovy Duck,Muscovy Duck,Cairina moschata,Cairina moschata
Zebra Finch,Zebra Finch,Taeniopygia guttata,Taeniopygia guttata
Unidentified,^(?!.*(Auk|Petrel|Skua)).*Unidentified,Unidentified,Unidentified
Hybrid,^(?!.*Channel).*Hybrid|\sx\s,Hybrid,\bHybrid\b|\sx\s
Channel Wagtail,Channel.*wagtail,motacilla.*(?:flava).*(?:flavissima).*,Motacilla(?:flava)(?:flavissima)
Helmeted Guineafowl,Helmeted guinea(-|\s)?fowl,Numida meleagris,Numida meleagris
Bernier's Teal,(Bernier['']?s|Madagascar) Teal,Anas bernieri,Anas bernieri
