common_name, common_name_regex, scientific_name, scientific_name_regex
Waxwing,^(Bohemian )?Waxwing,Bombycilla garrulus,^Bombycilla garrulus
Cedar Waxwing,^Cedar Waxwing$,Bombycilla cedrorum,^Bombycilla cedrorum
Coal Tit,^Coal Tit,Periparus ater,^Periparus ater
Crested Tit,^Crested Tit$,Lophophanes cristatus,^Lophophanes cristatus
Marsh Tit,^Marsh Tit,Poecile palustris,^Poecile palustris
Willow Tit,^Willow Tit$,Poecile montanus,^Poecile montanus
Blue Tit,^(Eurasian )?Blue Tit,Cyanistes caeruleus,^Cyanistes caeruleus
Great Tit,^Great Tit,Parus major,^Parus major
Penduline Tit,^Penduline Tit$|^Eurasian Penduline Tit$,Remiz pendulinus,^Remiz pendulinus
Bearded Tit,^Bearded (Tit|Reedling),Panurus biarmicus,^Panurus biarmicus
Woodlark,^Woodlark( \[arborea\])?$,Lullula arborea,^Lullula arborea
White-winged Lark,^White-winged Lark$,Alauda leucoptera,^Alauda leucoptera
Skylark,^(Eurasian )?Sky(\s)?lark,Alauda arvensis,^Alauda arvensis
Crested Lark,^Crested Lark$,Galerida cristata,^Galerida cristata
Shore Lark,^(Shore|Horned) Lark,Eremophila alpestris,^Eremophila alpestris
Short-toed Lark,^Short-toed Lark$|^Greater Short-toed Lark$,Calandrella brachydactyla,^Calandrella brachydactyla
Bimaculated Lark,^Bimaculated Lark$,Melanocorypha bimaculata,^Melanocorypha bimaculata
Calandra Lark,^Calandra Lark$,Melanocorypha calandra,^Melanocorypha calandra
Black Lark,^Black Lark$,Melanocorypha yeltoniensis,^Melanocorypha yeltoniensis
Mediterranean Short-toed Lark,^Mediterranean Short-toed Lark$,Alaudala rufescens,^Alaudala rufescens
Sand Martin,^(Sand Martin|Bank Swallow),Riparia riparia,^Riparia riparia
Tree Swallow,^Tree Swallow$,Tachycineta bicolor,^Tachycineta bicolor
Purple Martin,^Purple Martin$,Progne subis,^Progne subis
Crag Martin,^Crag Martin$|^Eurasian Crag Martin$,Ptyonoprogne rupestris,^Ptyonoprogne rupestris
Swallow,^Swallow$|^Barn Swallow( \(white-bellied\))?,Hirundo rustica,^Hirundo rustica
House Martin,^(Common |Western )?House(-|\s)Martin,Delichon urbicum,^Delichon urbicum
Red-rumped Swallow,^(European )?Red-rumped Swallow,Cecropis daurica,^Cecropis daurica
American Cliff Swallow,^American Cliff Swallow$,Petrochelidon pyrrhonota,^Petrochelidon pyrrhonota
Cetti's Warbler,^Cetti('|’)?s Warbler,Cettia cetti,^Cettia cetti
Long-tailed Tit,^Long-tailed Tit,Aegithalos caudatus,^Aegithalos caudatus
Wood Warbler,^Wood Warbler$,Phylloscopus sibilatrix,^Phylloscopus sibilatrix
Western Bonelli's Warbler,^Western Bonelli's Warbler$,Phylloscopus bonelli,^Phylloscopus bonelli
Eastern Bonelli's Warbler,^Eastern Bonelli's Warbler$,Phylloscopus orientalis,^Phylloscopus orientalis
Hume's Warbler,^Hume's Warbler$|^Hume's Leaf Warbler$,Phylloscopus humei,^Phylloscopus humei
Yellow-browed Warbler,^Yellow-browed Warbler$,Phylloscopus inornatus,^Phylloscopus inornatus
Pallas's Warbler,^Pallas's Warbler$|^Pallas's Leaf Warbler$,Phylloscopus proregulus,^Phylloscopus proregulus
Radde's Warbler,^Radde's Warbler$,Phylloscopus schwarzi,^Phylloscopus schwarzi
Sulphur-bellied Warbler,^Sulphur-bellied Warbler$,Phylloscopus griseolus,^Phylloscopus griseolus
Dusky Warbler,^Dusky Warbler$,Phylloscopus fuscatus,^Phylloscopus fuscatus
Willow Warbler,^Willow Warbler,Phylloscopus trochilus,^Phylloscopus trochilus
Chiffchaff,^(?!.*(Siberian|tristis|Iberian)).*(Common )?.*Chiffchaff,Phylloscopus collybita,^(?!.*(tristis)).*Phylloscopus( collybita)? collybita
Iberian Chiffchaff,^Iberian Chiffchaff$,Phylloscopus ibericus,^Phylloscopus ibericus
Eastern Crowned Warbler,^Eastern Crowned Warbler$,Phylloscopus coronatus,^Phylloscopus coronatus
Green Warbler,^Green Warbler$,Phylloscopus nitidus,^Phylloscopus nitidus
Two-barred Greenish Warbler,^Two-barred Greenish Warbler$|^Two-barred Warbler$,Phylloscopus plumbeitarsus,^Phylloscopus plumbeitarsus
Greenish Warbler,^Greenish Warbler$,Phylloscopus trochiloides,^Phylloscopus trochiloides
